! UKIRT Faint Standards
!
FS1 00 31 22.7 -12 24 29  +0.0   +0.0 B1950
FS2 00 52 36 00 26 58  +0.0   +0.0 B1950
FS3 01 01 46.6 03 57 34  +0.0   +0.0 B1950
FS4 01 52 03.7 00 28 20  +0.0   +0.0 B1950
FS5 01 52 04.7 -7 00 47  +0.0   +0.0 B1950
FS6 02 27 39.2 05 02 34  +0.0   +0.0 B1950
FS7 02 54 47.2 00 06 39  +0.0   +0.0 B1950
FS8 02 55 12.9 00 04 04  +0.0   +0.0 B1950
FS9 02 55 38.8 00 58 54  +0.0   +0.0 B1950
FS11 04 50 25.4 -00 19 34  +0.0   +0.0 B1950
FS12 05 49 34.8 15 52 37  +0.0   +0.0 B1950
FS13 05 54 33.8 00 00 53  +0.0   +0.0 B1950
FS14 07 21 41.2 -00 27 10  +0.0   +0.0 B1950
FS15 08 48 21.9 11 55 02  +0.0   +0.0 B1950
FS16 08 48 31.0 12 00 36  +0.0   +0.0 B1950
FS17 08 48 35.4 12 03 26  +0.0   +0.0 B1950
FS19 10 31 14.5 -11 26 08  +0.0   +0.0 B1950
FS20 11 05 27.6 -04 53 04  +0.0   +0.0 B1950
FS21 11 34 27.6 30 04 35  +0.0   +0.0 B1950
FS23 13 39 25.7 28 44 59  +0.0   +0.0 B1950
FS24 14 37 33.3 00 14 36  +0.0   +0.0 B1950
FS26 16 34 26.3.0 -00 28 39  +0.0   +0.0 B1950
FS27 16 38 54.2 36 26 56  +0.0   +0.0 B1950
FS29 21 49 53.0 02 09 16  +0.0   +0.0 B1950
FS30 22 39 11.3.6 00 56 55  +0.0   +0.0 B1950
FS31 23 09 50.4 10 30 46  +0.0   +0.0 B1950
FS32 23 13 38.2 -02 06 58  +0.0   +0.0 B1950

