! ACT stars,  V mag  +5.0  to  -2.0,  20.0 deg grid
000001  14 26 55.247  -83 40 04.41  -0.0564 -0.015  2000.0
000002  02 39 35.347  -68 16 01.00  +0.0141 +0.001  2000.0
000003  20 00 35.546  -72 54 37.80  +0.0174 -0.129  2000.0
000004  11 45 36.417  -66 43 43.37  -0.0171 +0.053  2000.0
000005  02 58 47.795  -64 04 16.69  +0.0033 -0.003  2000.0
000006  17 31 05.914  -60 41 01.85  -0.0072 -0.099  2000.0
000007  07 56 46.713  -52 58 56.42  -0.0033 +0.026  2000.0
000008  22 45 37.878  -53 30 00.50  +0.0029 +0.011  2000.0
000009  13 06 54.653  -49 54 22.52  -0.0012 -0.017  2000.0
000010  04 16 01.585  -51 29 11.94  +0.0107 +0.183  2000.0
000011  17 40 23.830  -49 24 56.11  +0.0113 -0.176  2000.0
000012  07 48 20.160  -47 04 39.82  -0.0100 -0.080  2000.0
000013  22 08 13.988  -46 57 39.78  +0.0128 -0.180  2000.0
000014  11 51 08.688  -45 10 24.51  -0.0073 -0.010  2000.0
000015  01 28 21.927  -43 19 05.67  -0.0017 -0.211  2000.0
000016  15 21 22.327  -40 38 51.11  -0.0011 -0.030  2000.0
000017  04 40 33.712  -41 51 49.40  -0.0127 -0.062  2000.0
000018  18 58 43.381  -37 06 26.42  -0.0106 -0.103  2000.0
000019  08 40 06.140  -35 18 30.07  +0.0004 -0.022  2000.0
000020  22 06 06.890  -39 32 36.10  -0.0016 -0.128  2000.0
000021  11 40 12.790  -34 44 40.75  -0.0034 +0.001  2000.0
000022  02 04 29.436  -29 17 48.55  +0.0007 +0.008  2000.0
000023  15 14 37.321  -31 31 08.82  -0.0005 +0.004  2000.0
000024  04 33 30.552  -29 45 59.32  -0.0089 -0.266  2000.0
000025  18 20 59.639  -29 49 41.19  +0.0020 -0.028  2000.0
000026  07 57 40.105  -30 20 04.48  -0.0008 +0.004  2000.0
000027  21 07 07.668  -25 00 21.05  -0.0020 -0.041  2000.0
000028  11 05 19.908  -27 17 37.07  -0.0142 -0.014  2000.0
000029  23 48 55.550  -28 07 48.95  +0.0080 -0.102  2000.0
000030  14 06 22.299  -26 40 56.53  +0.0033 -0.144  2000.0
000031  03 19 31.004  -21 45 28.38  +0.0039 +0.024  2000.0
000032  16 32 08.203  -21 28 01.08  +0.0019 -0.201  2000.0
000033  06 04 59.128  -16 29 03.97  -0.0005 -0.003  2000.0
000034  19 46 21.737  -19 45 40.00  -0.0094 -0.089  2000.0
000035  08 41 43.338  -15 56 36.23  +0.0005 -0.101  2000.0
000036  22 06 26.226  -13 52 10.92  +0.0024 -0.066  2000.0
000037  11 36 40.911  -09 48 08.05  -0.0043 +0.008  2000.0
000038  01 08 35.395  -10 10 56.16  +0.0149 -0.139  2000.0
000039  14 19 06.595  -13 22 15.94  -0.0009 +0.030  2000.0
000040  03 46 08.537  -12 06 05.73  +0.0039 +0.059  2000.0
000041  17 20 49.658  -12 50 48.79  +0.0026 -0.002  2000.0
000042  06 54 11.399  -12 02 19.05  -0.0094 -0.013  2000.0
000043  19 36 53.449  -07 01 38.70  +0.0001 +0.022  2000.0
000044  09 20 29.018  -09 33 20.50  -0.0009 -0.027  2000.0
