!  TPOINT star catalogue.
!  FK5 stars.
!  Magnitude range  +6.0 to  +7.0
!  Complete set:  not gridded.
!  

000037 01 03 49.022 +01 22 00.46  +.0081   -.042 J2000 ! +6.04
000053 01 33 39.152 -78 30 17.21  -.0115   -.136 J2000 ! +6.11
000076 02 14 29.067 +66 31 28.02  -.0011   -.006 J2000 ! +6.07
000173 04 48 50.327 +75 56 28.36  +.0095   -.135 J2000 ! +6.06
000205 05 39 43.704 +75 02 37.88  -.0020   +.025 J2000 ! +6.17
000231 06 04 28.443 -45 02 11.94  -.0076   +.244 J2000 ! +6.35
000302 08 01 42.413 +60 19 27.64  -.0050   -.021 J2000 ! +6.01
000322 08 39 42.595 +73 37 46.85  -.0035   -.099 J2000 ! +6.15
000350 09 18 58.832 +17 42 19.16  -.0087   -.127 J2000 ! +6.64
000370 09 51 14.029 -04 14 36.15  +.0009   -.028 J2000 ! +6.01
000376 09 59 43.075 +03 23 05.08  -.0044   +.022 J2000 ! +6.70
000404 10 41 24.187 -01 44 29.55  -.0091   -.121 J2000 ! +6.26
000413 10 59 56.776 +77 46 12.45  -.0226   -.023 J2000 ! +6.20
000429 11 22 51.250 +64 19 49.72  -.0007   +.034 J2000 ! +6.02
000478 12 41 33.903 +62 42 46.88  -.0046   -.017 J2000 ! +6.07
000503 13 39 11.906 -75 41 01.58  -.0074   -.006 J2000 ! +6.34
000517 14 01 10.477 +27 23 11.56  -.0060   +.017 J2000 ! +6.23
000536 14 31 42.804 +60 13 32.29  -.0066   +.021 J2000 ! +6.27
000623 16 30 38.788 +77 26 47.50  -.0319   +.276 J2000 ! +6.34
000629 16 52 04.851 +14 58 27.09  +.0012   +.004 J2000 ! +6.53
000636 17 07 46.684 +40 30 57.92  -.0033   -.033 J2000 ! +6.34
000701 18 36 13.250 +65 29 19.28  +.0030   +.083 J2000 ! +6.06
000734 19 21 40.170 +79 36 09.88  +.0048   -.034 J2000 ! +6.05
000789 21 00 33.843 -04 43 48.88  +.0034   -.137 J2000 ! +6.21
000865 22 54 39.436 -70 04 25.46  -.0097   +.072 J2000 ! +6.05
000888 23 35 32.075 -07 27 51.99  +.0001   +.016 J2000 ! +6.39
