!  TPOINT star catalogue.
!  FK5 stars.
!  Magnitude range  +3.0 to  +4.0
!  Complete set:  not gridded.
!  

000003 00 09 24.659 -45 44 50.79  +.0119   -.181 J2000 ! +3.88
000009 00 19 25.674 -08 49 26.14  -.0009   -.036 J2000 ! +3.56
000017 00 36 58.291 +53 53 48.92  +.0022   -.009 J2000 ! +3.66
000020 00 39 19.697 +30 51 39.43  +.0106   -.092 J2000 ! +3.27
000033 00 56 45.215 +38 29 57.60  +.0130   +.033 J2000 ! +3.87
000040 01 08 35.396 -10 10 56.17  +.0147   -.138 J2000 ! +3.45
000047 01 24 01.406 -08 11 00.29  -.0053   -.219 J2000 ! +3.60
000049 01 28 21.942 -43 19 05.66  -.0013   -.209 J2000 ! +3.41
000050 01 31 29.013 +15 20 44.81  +.0019   -.006 J2000 ! +3.62
000052 01 37 59.561 +48 37 41.55  +.0065   -.113 J2000 ! +3.57
000059 01 44 04.091 -15 56 14.89  -.1191   +.856 J2000 ! +3.50
000062 01 51 27.640 -10 20 06.20  +.0028   -.039 J2000 ! +3.73
000063 01 54 23.711 +63 40 12.28  +.0048   -.021 J2000 ! +3.38
000064 01 53 04.905 +29 34 43.82  +.0009   -.235 J2000 ! +3.41
000068 01 55 57.488 -51 36 31.99  +.0731   +.292 J2000 ! +3.70
000070 02 03 26.088 +72 25 16.69  -.0099   +.022 J2000 ! +3.98
000071 02 00 00.308 -21 04 40.21  +.0097   -.024 J2000 ! +4.00
000075 02 09 32.625 +34 59 14.24  +.0122   -.040 J2000 ! +3.00
000082 02 16 30.603 -51 30 44.04  +.0103   -.027 J2000 ! +3.56
000099 02 50 41.811 +55 53 43.80  +.0020   -.014 J2000 ! +3.76
000100 02 49 59.029 +27 15 37.81  +.0050   -.118 J2000 ! +3.63
000103 02 54 15.457 +52 45 44.95  +.0000   -.005 J2000 ! +3.95
000104 02 56 25.651 -08 53 53.40  +.0054   -.220 J2000 ! +3.89
000106 02 58 15.696 -40 18 16.97  -.0039   +.019 J2000 ! +3.25
000109 03 05 10.593 +38 50 25.01  +.0111   -.106 J2000 ! +3.30
000121 03 24 48.800 +09 01 43.87  -.0045   -.078 J2000 ! +3.60
000123 03 27 10.158 +09 43 57.73  +.0041   -.039 J2000 ! +3.74
000127 03 32 55.846 -09 27 29.72  -.0658   +.021 J2000 ! +3.73
000131 03 42 55.497 +47 47 15.30  +.0028   -.034 J2000 ! +3.01
000134 03 45 11.633 +42 34 42.70  -.0013   -.002 J2000 ! +3.77
000135 03 43 14.903 -09 45 48.25  -.0062   +.745 J2000 ! +3.54
000136 03 44 52.532 +24 06 48.01  +.0014   -.046 J2000 ! +3.70
000141 03 44 11.982 -64 48 25.07  +.0490   +.076 J2000 ! +3.85
000142 03 49 09.739 +24 03 12.24  +.0013   -.047 J2000 ! +3.63
000146 03 47 14.318 -74 14 20.27  +.0115   +.114 J2000 ! +3.24
000150 04 00 40.819 +12 29 25.24  -.0004   -.012 J2000 ! +3.47
000151 04 03 09.377 +05 59 21.48  +.0003   -.003 J2000 ! +3.91
000155 04 14 00.126 -42 17 40.00  +.0042   -.209 J2000 ! +3.86
000156 04 14 25.488 -62 28 25.85  +.0065   +.045 J2000 ! +3.35
000159 04 19 47.603 +15 37 39.41  +.0080   -.025 J2000 ! +3.65
000162 04 22 56.090 +17 32 32.98  +.0075   -.030 J2000 ! +3.76
000164 04 28 36.997 +19 10 49.46  +.0076   -.038 J2000 ! +3.54
000169 04 36 19.138 -03 21 08.89  +.0001   -.005 J2000 ! +3.93
000170 04 35 33.044 -30 33 44.42  -.0035   -.012 J2000 ! +3.82
000171 04 33 59.781 -55 02 42.21  +.0060   -.004 J2000 ! +3.27
000172 04 38 10.809 -14 18 14.13  -.0052   -.156 J2000 ! +3.87
