!  TPOINT star catalogue.
!  FK5 stars.
!  Magnitude range  +2.0 to  +3.0
!  Complete set:  not gridded.
!  

000001 00 08 23.265 +29 05 25.58  +.0104   -.163 J2000 ! +2.06
000002 00 09 10.695 +59 08 59.18  +.0683   -.181 J2000 ! +2.27
000007 00 13 14.154 +15 11 00.80  +.0002   -.012 J2000 ! +2.83
000011 00 25 45.056 -77 15 15.40  +.6692   +.324 J2000 ! +2.80
000012 00 26 17.030 -42 18 21.81  +.0183   -.396 J2000 ! +2.39
000021 00 40 30.450 +56 32 14.46  +.0064   -.032 J2000 ! +2.23
000022 00 43 35.372 -17 59 11.82  +.0164   +.033 J2000 ! +2.04
000042 01 09 43.931 +35 37 13.95  +.0146   -.114 J2000 ! +2.06
000048 01 25 48.959 +60 14 06.96  +.0399   -.051 J2000 ! +2.68
000066 01 54 38.401 +20 48 28.82  +.0068   -.111 J2000 ! +2.64
000072 01 58 46.201 -61 34 11.43  +.0370   +.027 J2000 ! +2.86
000073 02 03 53.963 +42 19 46.99  +.0040   -.052 J2000 ! +2.26
000074 02 07 10.403 +23 27 44.66  +.0138   -.148 J2000 ! +2.00
000075 02 09 32.625 +34 59 14.24  +.0122   -.040 J2000 ! +3.00
000107 03 02 16.773 +04 05 22.93  -.0006   -.078 J2000 ! +2.53
000108 03 04 47.791 +53 30 23.29  +.0000   -.005 J2000 ! +2.93
000111 03 08 10.131 +40 57 20.43  +.0003   -.001 J2000 ! +2.10
000139 03 47 29.073 +24 06 18.38  +.0014   -.046 J2000 ! +2.87
000144 03 54 07.922 +31 53 01.01  +.0005   -.010 J2000 ! +2.85
000147 03 57 51.227 +40 00 36.72  +.0016   -.026 J2000 ! +2.89
000149 03 58 01.763 -13 30 30.71  +.0042   -.111 J2000 ! +2.95
000181 04 56 59.617 +33 09 57.93  +.0003   -.018 J2000 ! +2.69
000183 05 01 58.133 +43 49 23.83  -.0001   -.004 J2000 ! +2.90
000188 05 07 50.972 -05 05 11.23  -.0063   -.081 J2000 ! +2.79
000204 05 28 14.720 -20 45 34.09  -.0003   -.089 J2000 ! +2.84
000206 05 32 00.398 -00 17 56.88  +.0001   -.002 J2000 ! +2.23
000207 05 32 43.802 -17 49 20.26  +.0001   +.002 J2000 ! +2.58
000209 05 35 25.974 -05 54 35.61  +.0000   +.001 J2000 ! +2.77
000211 05 37 38.681 +21 08 33.06  +.0000   -.021 J2000 ! +3.00
000215 05 39 38.947 -34 04 27.01  +.0005   -.026 J2000 ! +2.64
000220 05 47 45.387 -09 40 10.75  +.0001   -.002 J2000 ! +2.06
000241 06 22 57.621 +22 30 48.79  +.0039   -.111 J2000 ! +2.88
000254 06 43 55.923 +25 07 51.91  -.0004   -.013 J2000 ! +2.98
000263 06 49 56.173 -50 36 52.73  +.0038   -.070 J2000 ! +2.93
000278 07 17 08.554 -37 05 51.08  -.0008   +.004 J2000 ! +2.70
000283 07 24 05.699 -29 18 11.23  -.0003   +.005 J2000 ! +2.45
000285 07 27 09.039 +08 17 21.50  -.0035   -.038 J2000 ! +2.90
000306 08 03 35.052 -40 00 11.64  -.0024   +.012 J2000 ! +2.25
000308 08 07 32.645 -24 18 15.45  -.0061   +.049 J2000 ! +2.81
000345 09 07 59.776 -43 25 57.38  -.0017   +.013 J2000 ! +2.21
000351 09 17 05.404 -59 16 31.04  -.0026   +.008 J2000 ! +2.25
000353 09 22 06.828 -55 00 38.60  -.0010   +.009 J2000 ! +2.50
000367 09 45 51.071 +23 46 27.21  -.0034   -.011 J2000 ! +2.98
000406 10 42 57.368 -64 23 40.08  -.0035   +.010 J2000 ! +2.76
000416 11 01 50.482 +56 22 56.65  +.0099   +.034 J2000 ! +2.37
000422 11 14 06.495 +20 31 25.30  +.0101   -.130 J2000 ! +2.56
000444 11 49 03.580 +14 34 19.35  -.0342   -.114 J2000 ! +2.14
000447 11 53 49.836 +53 41 41.13  +.0107   +.012 J2000 ! +2.44
000452 12 08 21.515 -50 43 20.74  -.0036   -.008 J2000 ! +2.60
000453 12 10 07.485 -22 37 11.15  -.0051   +.014 J2000 ! +3.00
000455 12 15 08.683 -58 44 56.08  -.0053   -.009 J2000 ! +2.80
000457 12 15 48.366 -17 32 30.97  -.0112   +.023 J2000 ! +2.59
000465 12 29 51.855 -16 30 55.57  -.0146   -.138 J2000 ! +2.95
000471 12 34 23.238 -23 23 48.31  +.0002   -.054 J2000 ! +2.65
000474 12 37 10.958 -69 08 07.96  -.0090   -.013 J2000 ! +2.69
000485 12 56 01.664 +38 19 06.21  -.0199   +.057 J2000 ! +2.90
000488 13 02 10.602 +10 57 32.88  -.0185   +.020 J2000 ! +2.83
000495 13 18 55.293 -23 10 17.66  +.0047   -.045 J2000 ! +3.00
000496 13 20 35.822 -36 42 44.32  -.0283   -.085 J2000 ! +2.75
000497 13 23 55.539 +54 55 31.38  +.0141   -.020 J2000 ! +2.27
000504 13 39 53.246 -53 27 58.99  -.0032   -.017 J2000 ! +2.30
000512 13 55 32.388 -47 17 18.12  -.0056   -.042 J2000 ! +2.55
000513 13 54 41.074 +18 23 51.72  -.0044   -.358 J2000 ! +2.68
000520 14 06 40.951 -36 22 12.03  -.0429   -.519 J2000 ! +2.06
000537 14 35 30.429 -42 09 28.39  -.0031   -.035 J2000 ! +2.31
