!  TPOINT star catalogue.
!  FK5 stars.
!  Magnitude range  +5.0 to  +6.0
!  Complete set:  not gridded.
!  

000004 00 10 19.257 +46 04 20.21  +.0007   +.000 J2000 ! +5.03
000005 00 11 34.437 -27 47 59.12  +.0008   +.017 J2000 ! +5.42
000006 00 11 44.014 -35 07 59.17  +.0141   +.119 J2000 ! +5.25
000013 00 30 02.362 -03 57 26.39  +.0007   -.012 J2000 ! +5.72
000014 00 30 22.661 -23 47 15.72  -.0018   +.013 J2000 ! +5.19
000024 00 45 39.044 +74 59 16.93  -.0046   -.026 J2000 ! +5.66
000026 00 44 12.095 -38 25 18.28  +.0208   +.113 J2000 ! +5.90
000029 00 50 43.603 +64 14 51.15  +.0045   -.012 J2000 ! +5.39
000030 00 50 07.596 -10 38 39.54  -.0153   -.229 J2000 ! +5.19
000031 00 48 35.395 -74 55 24.25  +.0333   -.033 J2000 ! +5.07
000034 00 55 00.291 -69 31 37.49  +.0012   -.045 J2000 ! +5.45
000039 01 07 18.653 -61 46 31.04  +.0103   -.012 J2000 ! +5.37
000041 01 12 16.742 +79 40 26.27  +.0340   -.005 J2000 ! +5.64
000044 01 12 45.433 -37 51 23.49  +.0076   -.034 J2000 ! +5.92
000051 01 38 30.901 +73 02 24.10  -.0030   -.015 J2000 ! +5.28
000055 01 42 20.518 +68 02 34.93  +.0093   -.009 J2000 ! +5.59
000058 01 42 02.988 -36 49 56.59  -.0024   -.021 J2000 ! +5.72
000061 01 45 38.782 -25 03 09.32  +.0120   -.057 J2000 ! +5.31
000077 02 13 36.341 +51 03 57.04  +.0367   -.171 J2000 ! +5.31
000078 02 12 54.480 -30 43 25.80  +.0014   +.006 J2000 ! +5.28
000080 02 16 59.045 -06 25 19.71  +.0062   -.108 J2000 ! +5.51
000081 02 18 07.535 +19 54 04.07  -.0009   -.002 J2000 ! +5.62
000083 02 22 32.567 -23 48 59.32  +.0146   -.062 J2000 ! +5.20
000084 02 24 53.928 -60 18 43.01  -.0092   -.133 J2000 ! +5.35
000087 02 38 02.006 +72 49 05.84  -.0068   +.017 J2000 ! +5.16
000088 02 33 07.032 -34 39 00.01  -.0012   -.020 J2000 ! +5.90
000089 02 38 48.986 +21 57 40.99  -.0006   -.017 J2000 ! +5.43
000090 02 31 40.469 -79 06 33.78  +.0427   -.056 J2000 ! +5.28
000092 02 44 49.678 +67 49 28.68  +.0027   -.033 J2000 ! +5.95
000105 03 06 07.764 +79 25 06.67  -.0143   +.009 J2000 ! +5.49
000110 03 03 36.814 -59 44 16.00  -.0097   -.067 J2000 ! +5.11
000113 03 02 15.431 -71 54 08.86  +.0054   +.014 J2000 ! +5.53
000115 03 20 19.742 +77 44 05.18  +.0184   -.061 J2000 ! +5.45
000116 03 12 46.439 -01 11 45.88  +.0131   -.067 J2000 ! +5.06
000118 03 12 33.150 -57 19 17.83  +.0023   +.009 J2000 ! +5.74
000128 03 32 34.810 -50 22 43.33  +.0102   +.079 J2000 ! +5.68
000129 03 42 09.312 +63 13 00.44  -.0029   +.017 J2000 ! +5.10
000133 03 42 14.912 -31 56 18.12  +.0007   +.014 J2000 ! +5.00
000137 03 44 30.503 -01 09 47.24  +.0002   -.007 J2000 ! +5.25
000153 04 05 37.447 -27 39 06.47  +.0154   +.094 J2000 ! +5.59
000161 04 20 39.011 -20 38 22.73  +.0018   -.011 J2000 ! +5.38
000163 04 21 53.338 -63 23 11.00  +.0132   +.173 J2000 ! +5.24
000165 04 32 01.832 +53 54 39.03  +.0000   -.003 J2000 ! +5.77
000166 04 17 59.149 -80 12 50.49  +.0069   +.061 J2000 ! +5.69
000167 04 30 50.116 -44 57 13.67  +.0006   -.008 J2000 ! +5.07
000175 04 48 00.267 +56 45 25.93  +.0061   -.148 J2000 ! +5.34
000177 04 43 03.949 -70 55 51.74  +.0016   +.034 J2000 ! +5.54
000187 05 04 58.022 -49 34 40.22  +.0073   -.003 J2000 ! +5.03
000191 05 22 33.474 +79 13 52.08  -.0291   +.161 J2000 ! +5.05
000198 05 19 23.692 -27 22 08.09  +.0000   -.010 J2000 ! +5.99
000199 05 19 22.142 -50 36 21.65  +.0029   +.224 J2000 ! +5.45
000203 05 30 10.206 +63 04 02.04  -.0009   -.005 J2000 ! +5.42
000214 05 31 52.935 -76 20 27.65  +.0314   +.283 J2000 ! +5.19
000216 05 45 54.038 +49 49 34.69  -.0010   +.001 J2000 ! +5.47
000218 05 47 26.188 +17 43 44.76  -.0003   -.006 J2000 ! +5.49
000230 06 04 58.352 +04 09 31.05  -.0001   -.005 J2000 ! +5.63
000233 06 12 51.061 +65 43 06.33  +.0009   -.033 J2000 ! +5.32
000239 06 10 14.436 -74 45 11.05  +.0298   -.213 J2000 ! +5.09
